date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
1/12/2023,414,ranked,1104,21,no,4,2,Maggie,Vantage,Seer,392,558,363,0,1,1,1,1313,2,184
1/12/2023,417,ranked,197,-52,yes,16,2,Maggie,Seer,Horizon,221,17,84,0,0,0,2,322,0,185
1/12/2023,419,ranked,495,-52,yes,13,2,Crypto,Ashe,Wraith,111,222,88,0,0,0,1,421,0,186
1/12/2023,420,ranked,202,-52,yes,14,2,Crypto,Wraith,Ashe,145,145,183,0,0,0,1,473,0,187
1/12/2023,421,ranked,909,66,yes,2,2,Crypto,Ashe,Wraith,257,354,1347,0,0,2,1,1958,2,188
1/12/2023,424,ranked,382,-52,no,14,2,Vantage,Lifeline,Valkyrie,150,155,60,0,0,0,1,365,0,189
1/12/2023,426,ranked,316,-52,no,15,2,Vantage,Lifeline,Loba,195,262,62,0,0,0,0,519,0,190
1/12/2023,428,ranked,1294,225,no,1,2,Vantage,Revenant,Mirage,912,1715,2213,2,3,4,-2,4840,9,191
1/12/2023,430,ranked,906,-42,no,10,2,Vantage,Bloodhound,Horizon,692,446,109,0,0,0,2,1247,0,192
1/12/2023,431,ranked,1294,100,no,2,2,Vantage,Lifeline,Maggie,627,608,952,0,2,2,0,2187,4,193
1/12/2023,432,ranked,1148,204,no,2,2,Pathfinder,Vantage,Rampart,939,2069,537,2,4,3,0,3545,9,194
1/13/2023,435,ranked,1029,120,no,4,2,Vantage,Wattson,Bloodhound,1147,99,627,6,0,1,1,1873,7,195
1/13/2023,436,ranked,943,-35,no,7,2,Vantage,Pathfinder,Seer,183,219,381,0,0,0,1,783,0,196
1/13/2023,437,ranked,1207,245,no,1,2,Vantage,Caustic,Vantage,961,1532,1343,4,2,3,0,3836,9,197
1/13/2023,439,ranked,422,-45,no,11,2,Revenant,Octane,Seer,668,367,199,1,0,0,0,1234,1,198
1/13/2023,440,ranked,107,-55,no,17,2,Gibraltar,Lifeline,Wattson,114,36,165,0,0,0,1,315,0,199
1/13/2023,441,ranked,1349,65,no,3,2,Vantage,Lifeline,Bloodhound,1240,708,1303,1,1,2,1,3251,4,200
1/13/2023,443,ranked,959,-5,no,9,2,Vantage,Wraith,Valkyrie,876,701,1306,1,1,3,2,2883,5,201
1/13/2023,445,ranked,931,54,no,5,2,Vantage,Bangalore,Wraith,831,878,724,2,3,1,1,2433,6,202
1/13/2023,446,ranked,217,-54,no,14,2,Wraith,Crypto,Seer,320,0,0,1,0,0,2,320,1,203
1/13/2023,447,ranked,759,-35,no,7,2,Vantage,Gibraltar,Loba,504,38,96,0,0,0,1,638,0,204
1/13/2023,448,ranked,1282,270,no,1,2,Vantage,Pathfinder,Lifeline,1016,561,1483,6,1,3,0,3060,10,205
1/13/2023,449,ranked,275,-48,no,13,2,Vantage,Catalyst,Loba,257,477,285,0,1,0,0,1019,1,206
1/13/2023,451,ranked,248,-55,no,18,2,Crypto,Seer,Pathfinder,216,64,235,0,0,0,1,515,0,207
1/13/2023,452,ranked,1145,36,no,4,2,Crypto,Vantage,Gibraltar,328,604,1012,0,1,1,1,1944,2,208
1/13/2023,457,ranked,178,-55,no,16,2,Maggie,Bloodhound,Bangalore,170,134,171,0,0,0,1,475,0,209
1/13/2023,458,ranked,850,52,no,6,2,Maggie,Octane,Vantage,835,886,1287,1,6,1,0,3008,8,210
1/13/2023,461,ranked,884,22,no,5,2,Maggie,Octane,Mirage,384,1285,308,0,3,0,-1,1977,3,211
1/13/2023,463,ranked,443,-38,no,12,2,Maggie,Horizon,Seer,278,150,406,1,1,1,2,834,3,212
1/13/2023,465,ranked,127,-55,no,20,2,Maggie,Bloodhound,Valkyrie,278,0,233,0,0,0,2,511,0,213
1/13/2023,466,ranked,777,58,no,3,2,Maggie,Horizon,Bloodhound,638,556,1192,0,2,4,2,2386,6,214
1/13/2023,467,ranked,668,-45,no,9,2,Vantage,Gibraltar,Bangalore,585,120,598,0,0,0,1,1303,0,215
1/13/2023,469,ranked,1180,66,no,2,2,Vantage,Bangalore,Gibraltar,736,609,161,1,0,0,1,1506,1,216
1/13/2023,470,ranked,580,-55,no,11,2,Vantage,Bloodhound,Mirage,0,269,36,0,1,0,0,305,1,217
1/13/2023,472,ranked,873,20,no,6,2,Maggie,Bangalore,Valkyrie,278,720,207,1,2,1,1,1205,4,218
1/14/2023,478,ranked,699,118,no,3,2,Vantage,Octane,Wraith,453,1110,1428,2,3,5,1,2991,10,219
